epoch,a,b,add_target,mm21_target,total_epochs,q1_exclusive_rate,q2_exclusive_rate,split_rate,tie_or_missing_rate,q1_exclusive_count,q2_exclusive_count,split_count,tie_or_missing_count
0,6,9,15,12,1,0.0,0.0,0.0,1.0,0,0,0,1
0,6,12,18,9,1,0.0,0.0,0.0,1.0,0,0,0,1
0,6,13,19,15,1,0.0,0.0,0.0,1.0,0,0,0,1
0,7,0,7,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,7,1,8,7,1,0.0,0.0,0.0,1.0,0,0,0,1
0,7,3,10,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,7,4,11,7,1,0.0,0.0,0.0,1.0,0,0,0,1
0,7,7,14,7,1,0.0,0.0,0.0,1.0,0,0,0,1
0,7,8,15,14,1,0.0,0.0,0.0,1.0,0,0,0,1
0,7,9,16,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,7,11,18,14,1,0.0,0.0,0.0,1.0,0,0,0,1
0,7,13,20,7,1,0.0,0.0,0.0,1.0,0,0,0,1
0,8,0,8,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,8,1,9,8,1,0.0,0.0,0.0,1.0,0,0,0,1
0,8,3,11,3,1,0.0,0.0,0.0,1.0,0,0,0,1
0,8,5,13,19,1,0.0,0.0,0.0,1.0,0,0,0,1
0,8,6,14,6,1,0.0,0.0,0.0,1.0,0,0,0,1
0,8,7,15,14,1,0.0,0.0,0.0,1.0,0,0,0,1
0,8,9,17,9,1,0.0,0.0,0.0,1.0,0,0,0,1
0,8,11,19,4,1,0.0,0.0,0.0,1.0,0,0,0,1
0,8,12,20,12,1,0.0,0.0,0.0,1.0,0,0,0,1
0,9,4,13,15,1,0.0,0.0,0.0,1.0,0,0,0,1
0,9,5,14,3,1,0.0,0.0,0.0,1.0,0,0,0,1
0,9,6,15,12,1,0.0,0.0,0.0,1.0,0,0,0,1
0,9,7,16,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,9,8,17,9,1,0.0,0.0,0.0,1.0,0,0,0,1
0,9,11,20,15,1,0.0,0.0,0.0,1.0,0,0,0,1
0,10,0,10,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,10,1,11,10,1,0.0,0.0,0.0,1.0,0,0,0,1
0,10,2,12,20,1,0.0,0.0,0.0,1.0,0,0,0,1
0,10,4,14,19,1,0.0,0.0,0.0,1.0,0,0,0,1
0,10,5,15,8,1,0.0,0.0,0.0,1.0,0,0,0,1
0,10,6,16,18,1,0.0,0.0,0.0,1.0,0,0,0,1
0,10,7,17,7,1,0.0,0.0,0.0,1.0,0,0,0,1
0,10,8,18,17,1,0.0,0.0,0.0,1.0,0,0,0,1
0,10,9,19,6,1,0.0,0.0,0.0,1.0,0,0,0,1
0,11,0,11,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,11,1,12,11,1,0.0,0.0,0.0,1.0,0,0,0,1
0,11,2,13,1,1,0.0,0.0,0.0,1.0,0,0,0,1
0,11,6,17,3,1,0.0,0.0,0.0,1.0,0,0,0,1
0,11,8,19,4,1,0.0,0.0,0.0,1.0,0,0,0,1
0,11,9,20,15,1,0.0,0.0,0.0,1.0,0,0,0,1
0,12,0,12,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,12,1,13,12,1,0.0,0.0,0.0,1.0,0,0,0,1
0,12,4,16,6,1,0.0,0.0,0.0,1.0,0,0,0,1
0,12,5,17,18,1,0.0,0.0,0.0,1.0,0,0,0,1
0,12,6,18,9,1,0.0,0.0,0.0,1.0,0,0,0,1
0,12,8,20,12,1,0.0,0.0,0.0,1.0,0,0,0,1
0,13,1,14,13,1,0.0,0.0,0.0,1.0,0,0,0,1
0,13,3,16,18,1,0.0,0.0,0.0,1.0,0,0,0,1
