model_id,future_pred_acc_x_0,future_pred_acc_x_1,future_pred_acc_x_2,future_pred_acc_x_3,future_pred_acc_x_4,future_pred_acc_x_5,future_pred_acc_x_6,future_pred_acc_z_0,future_pred_acc_z_1,future_pred_acc_z_2,future_pred_acc_z_3,future_pred_acc_z_4,future_pred_acc_z_5,future_pred_acc_z_6,recon_acc_x
major_single_induced_val6_full_k24_0/cp_step1101.pt,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.24523809523809523
major_single_induced_val6_full_k24_0/cp_step4901.pt,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333,0.25,0.4166666666666667
major_single_induced_val6_full_k24_1/cp_step4901.pt,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.25,0.16666666666666666
major_single_induced_val6_full_k24_1/cp_step601.pt,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666
major_single_induced_val6_full_k24_2/cp_step401.pt,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.25
major_single_induced_val6_full_k24_2/cp_step4901.pt,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.25,0.25,0.325,0.16666666666666666,0.25
major_single_induced_val6_full_k24_3/cp_step4901.pt,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.11666666666666667,0.11666666666666667,0.43333333333333335,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.45,0.3333333333333333,0.25
major_single_induced_val6_full_k24_3/cp_step901.pt,0.25,0.5,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.5,0.75,0.75,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.8333333333333334
major_single_induced_val6_full_k24_4/cp_step4901.pt,0.16666666666666666,0.25,0.25,0.16666666666666666,0.25,0.25,0.25,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.25
major_single_induced_val6_full_k24_4/cp_step901.pt,0.5166666666666667,0.6833333333333333,0.6666666666666666,0.35,0.6,0.5833333333333334,0.5,0.6,0.85,0.8333333333333334,0.5166666666666667,0.7666666666666667,0.75,0.6333333333333333,0.6869047619047619
major_single_induced_val6_nosymm_k24_0/cp_step301.pt,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.5,0.5,0.5,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.25,0.3333333333333333
major_single_induced_val6_nosymm_k24_0/cp_step4901.pt,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.25,0.16666666666666666
major_single_induced_val6_nosymm_k24_1/cp_step4901.pt,0.25,0.25,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.5,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.25
major_single_induced_val6_nosymm_k24_1/cp_step501.pt,0.16666666666666666,0.16666666666666666,0.14166666666666666,0.16666666666666666,0.14166666666666666,0.16666666666666666,0.16666666666666666,0.475,0.5,0.5,0.475,0.475,0.475,0.4166666666666667,0.3333333333333333
major_single_induced_val6_nosymm_k24_2/cp_step401.pt,0.16666666666666666,0.25,0.25,0.08333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.3333333333333333
major_single_induced_val6_nosymm_k24_2/cp_step4901.pt,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.5833333333333334,0.5916666666666667,0.5,0.5,0.5,0.5,0.4166666666666667,0.25
major_single_induced_val6_nosymm_k24_3/cp_step2701.pt,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.5833333333333334,0.5,0.5,0.5,1.0
major_single_induced_val6_nosymm_k24_3/cp_step4901.pt,0.4166666666666667,0.4166666666666667,0.25,0.3333333333333333,0.25,0.5833333333333334,0.5,0.5833333333333334,0.5,0.5,0.5,0.4166666666666667,0.4166666666666667,0.4166666666666667,1.0
